Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
降,,絳,去,古巷,kæwngH,二,開,見,江,345.32,h-,-aewng,A,haewng,Ɣåŋ
渺,,小,上,亡沼,mjiewX (IV),三,開,明,宵,298.21,m-,-jiew,B,mjiewX,
大,,箇,去,唐佐,daH,一,開,定,歌,419.33,d-,-a,C,daH,dâiᶜ
大,泰,泰,去,徒蓋,dajH,一,開,定,,380.23,d-,-aj,C,dajH,
木,,屋,入,莫卜,muwk,一,開,明,東,452.37,m-,-uwk,D,muwk,muk
儀,支,支,平,魚羈,ngje (III),三,開,疑,支,45.08,ng-,-je,A,ngje,ŋje 3
據,,御,去,居御,kjoH,三,開,見,魚,361.53,k-,-jo,C,kjoH,kjwoᶜ
國,,德,入,古或,kwok,一,合,見,登,530.39,k-,-wok,D,kwok,kwək
唱,,漾,去,尺亮,tsyhangH,三,開,昌（穿三）,陽,426.12,tsyh-,-jang,C,tsyhangH,
言,元,元,平,語軒,ngjon,三,開,疑,元,115.31,ng-,-jon,A,ngjon,ŋjɐn
言,,,,,,,,,,,ng-,-jon,A,ngjon,
言,,,,,,,,,,,ng-,-jon,A,ngjon,
君,文,文,平,舉云,kjun,三,開,見,文,111.37,k-,-jun,A,kjun,kjuən
云,文,文,平,王分,hjun,三,開,云（喻三）,文,110.11,h-,-jun,A,hjun,jwən
旨,,旨,上,職雉,tsyijX,三,開,章（照三）,脂,247.05,tsy-,-ij,B,tsyijX,tśiᴮ
再,,代,去,作代,tsojH,一,開,精,咍,390.01,ts-,-oj,C,tsojH,tsậiᶜ
闊,,末,入,苦栝,khwat,一,合,溪,桓,486.12,kh-,-wat,D,khwat,kʰuât
闊,,,,,,,,,,,kh-,-wat,D,khwat,
巾,真,真,平,居銀,kin (III),三,開,見,真,105.27,k-,-in,A,kin,
鶚,,鐸,入,五各,ngak,一,開,疑,唐,507.02,,,,,
店,,㮇,去,都念,temH,四,開,端,添,444.31,,,,,
晴,清,清,平,疾盈,dzjieng,三,開,從,清,190.12,dz-,-jeng,A,dzjeng,
慝,,德,入,他德,thok,一,開,透,登,529.30,th-,-ok,D,thok,tʰək
授,,宥,去,承呪,dzyuwH,三,開,常（禪三）,尤,437.14,dzy-,-juw,C,dzyuwH,źjəuᶜ
緣,仙,仙,平,與專,ywen,三,合,以（喻四）,仙,140.58,y-,-jwen,A,ywen,jiwän
緣,,線,去,以絹,ywenH,三,合,以（喻四）,仙,410.05,,,,,jiwänᶜ
渟,青,青,平,特丁,deng,四,開,定,青,194.23,,,,,xuo
並,,迥,上,蒲迥,bengX,四,開,並,青,320.46,b-,-eng,B,bengX,
靜,,靜,上,疾郢,dzjiengX,三,開,從,清,317.40,,,,,
